id;statut;date_entree;date_sortie;zone;ligne;colonne;commentaire
1;81077;2021-11-19T17:52:18;2021-11-19T08:07:45;33636;13144;76036;Fresh Account firewall
2;10147;2021-11-20T06:03:34;2021-11-19T13:14:39;13835;28320;30355;Small Fresh
3;64981;2021-11-20T00:30:52;2021-11-20T04:30:38;1655;16254;53385;Electronics Bourgogne
4;71787;2021-11-19T09:34:30;2021-11-19T10:07:50;13214;13430;48376;cross-platform Poitou-Charentes Handcrafted
5;71804;2021-11-19T18:44:44;2021-11-19T16:21:25;84376;24030;3812;Fresh structure overriding
6;77945;2021-11-19T14:53:54;2021-11-19T22:14:07;99321;86463;1210;web-readiness b haptic
7;74498;2021-11-20T01:26:01;2021-11-19T13:23:18;95115;19983;65678;capacity Manager
8;85069;2021-11-19T12:38:41;2021-11-20T03:33:04;78080;36905;86256;access synthesizing
9;51901;2021-11-19T12:09:32;2021-11-19T13:14:59;7103;31936;54400;Chicken content
10;10773;2021-11-19T07:16:08;2021-11-19T16:52:57;98631;61929;9929;sticky monitor De-engineered
