id;label;activated;lib_2;lib_3;ref_externe;val_1;val_2;val_3;ordre
1;purple syndicate microchip;false;Sausages;Gorgeous Buckinghamshire Concrete;deliver;Chicken backing;interactive Executif SMTP;Pants de e-markets;35930
2;1080p SSL;true;b pixel expedite;Granite;Buckinghamshire Nord-Pas-de-Calais;Licensed;Auvergne Automated Electronics;generate withdrawal Bike;51956
3;a bus Fully-configurable;true;wireless bypassing Cambridgeshire;Ingenieur Concrete withdrawal;Concrete Assistant programming;c;robust;b;65943
4;Generic;true;invoice;quantifying a;Fundamental;connect online;Rubber;a Grass-roots reboot;50493
5;Lorraine Steel Automotive;true;alarm a Car;Mouse lavender;b Islands wireless;digital collaborative;Managed interactive;Chicken;24665
6;Car;false;du redundant Steel;bandwidth;enhance Borders;facilitate multi-byte;Soft;b;96661
7;syndicate Incredible;true;generate navigating;Avon;Fantastic Frozen withdrawal;Rubber;payment Coordinateur;Steel programming deposit;70316
8;a;true;Haute-Normandie Berkshire;Gloves Sports Basse-Normandie;Dauphine Home;navigating;Plastic;AI cutting-edge;86303
9;a visualize withdrawal;false;Analyste Frozen next-generation;Mouse;Zimbabwe infrastructures;Iceland cyan;generation Bretagne;driver port;28535
10;Progressive Centralized;false;transition;capacitor bandwidth;withdrawal Borders;monetize;port programming heuristic;paradigms;17987
